,name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image
103,euoplocephalus,herbivorous,Late Cretaceous 76-70 million years ago,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,tutus,,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/euoplo.jpg
104,europasaurus,herbivorous,Late Jurassic 154-151 million years ago,Germany,sauropod,6.2m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sander Mateus Laven and Knötschke (2006),holgeri,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Europasaurus.jpg
105,eustreptospondylus,carnivorous,Mid Jurassic 165 million years ago,United Kingdom,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Walker (1964),oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eustreptospondylus.jpg
106,fukuiraptor,carnivorous,Early Cretaceous 121-99 million years ago,Japan,large theropod,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Azuma and Currie (2000),kitadaniensis,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuiraptor.jpg
107,fukuisaurus,herbivorous,Early Cretaceous 121-99 million years ago,Japan,euornithopod,4.7m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Kobayashi and Azuma (2003),tetoriensius,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuisaurus.jpg
108,gallimimus,omnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osmólska Roniewicz and Barsbold (1972),bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gallim.jpg
109,gargoyleosaurus,herbivorous,Late Jurassic 154-142 million years ago,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Carpenter Miles and Cloward (1998),parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gargoyleosaurus.jpg
110,garudimimus,omnivorous,Late Cretaceous 99-89 million years ago,Mongolia,large theropod,4.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold (1981),brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Garudimimus.jpg
111,gasosaurus,carnivorous,Mid Jurassic 170-160 million years ago,China,small theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Dong and Tang (1985),constructus,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gaso.jpg
112,gasparinisaura,herbivorous,Late Cretaceous 86-71 million years ago,Argentina,euornithopod,0.8m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Coria and Salgado (1996),cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gasparinisaura.jpg
